"Trgt_Genes"	"Drug_name"	"Drug_chembl_id"
"EPOR"	"CAPSAICIN,DARBEPOETIN ALFA,EPOETIN ALFA,EPOETIN BETA,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,PEGINESATIDE,PEGINESATIDE ACETATE"	"CHEMBL1201565,CHEMBL1201566,CHEMBL1963684,CHEMBL2107866,CHEMBL2109092,CHEMBL294199,CHEMBL3707314"
"EPRS"	"HALOFUGINONE"	"CHEMBL1197091"
"ERAP1"	"TOSEDOSTAT"	"CHEMBL2103847"
"ERAP2"	"TOSEDOSTAT"	"CHEMBL2103847"
"ERBB2"	"ABEMACICLIB,AC-480,ACALABRUTINIB,AEE-788,AFATINIB,AFATINIB DIMALEATE,Allitinib,AMG-337,ANASTROZOLE,ANTHRAQUINONE,ARQ-092,AT-13148,AZD-4547,AZD-8055,BENZONATATE,BEVACIZUMAB,BGB-283,BMS-690514,BUPARLISIB,CANERTINIB,CANERTINIB DIHYDROCHLORIDE,CAPECITABINE,CETUXIMAB,CHEMBL1229592,CHEMBL2141478,CHEMBL35482,CHEMBL392068,CHLORAMBUCIL,CI-1040,CIMAGLERMIN ALFA,COPANLISIB,CP-724714,CRIZOTINIB,CUDC-101,CUDC-907,CYCLOPHOSPHAMIDE,DACOMITINIB,DACOMITINIB HYDRATE,DEPATUXIZUMAB MAFODOTIN,DEPSIPEPTIDE,DIETHYLSTILBESTROL,DOCETAXEL,DOXORUBICIN,EMODIN,ENTINOSTAT,EPIGALOCATECHIN GALLATE,EPIRUBICIN,ERLOTINIB,ERTUMAXOMAB,ETHYL NITROSOUREA,EVEROLIMUS,EXEMESTANE,FALNIDAMOL,FILGRASTIM,FLOXURIDINE,FLUOROURACIL,FULVESTRANT,GANCICLOVIR,GEDATOLISIB,GEFITINIB,GEMCITABINE,GONADORELIN,Hemay-022,HYDROCORTISONE,IBRUTINIB,INSM-18,IPATASERTIB,Irbinitinib,IRINOTECAN,ISOFLAVONE,JNJ-26483327,LAPATINIB,LAPATINIB DITOSYLATE,LAPULEUCEL-T,LETROZOLE,LEUCOVORIN,LITHOCHOLIC ACID,MARGETUXIMAB,MDX-210,MECHLORETHAMINE HYDROCHLORIDE,METFORMIN,MK-2206,MM-302,MOMELOTINIB,MP-412,MUBRITINIB,NERATINIB,OLAPARIB,ONARTUZUMAB,OSIMERTINIB,OSIMERTINIB MESYLATE,OXALIPLATIN,PA-799,PACLITAXEL,PALBOCICLIB,PANITUMUMAB,PELITINIB,PERTUZUMAB,PHENYLTHIOUREA,PICTILISIB,PILARALISIB (CHEMBL3218575),PKI-179,PONATINIB,Poziotinib,PROXYPHYLLINE,Pyrotinib,RAMUCIRUMAB,RILOTUMUMAB,ROCILETINIB,ROMIDEPSIN,S-222611,SAPITINIB,SB-243213,SELUMETINIB,SERIBANTUMAB,SIROLIMUS,SORAFENIB,SUNITINIB,T-DM1,TAK-285,TAMOXIFEN,TASELISIB,TEGAFUR,TEMSIROLIMUS,TESEVATINIB,TIPIFARNIB,TIVOZANIB,TRASTUZUMAB,TRASTUZUMAB EMTANSINE,TRODUSQUEMINE,TYRPHOSTIN AG 879,URACIL,VANDETANIB,VARLITINIB,VINORELBINE BASE,VITAMIN E,VORINOSTAT,VS-5584"	"CHEMBL1007,CHEMBL105442,CHEMBL1078178,CHEMBL1079175,CHEMBL1079593,CHEMBL1171837,CHEMBL1173655,CHEMBL1200374,CHEMBL1201001,CHEMBL1201179,CHEMBL1201182,CHEMBL1201567,CHEMBL1201577,CHEMBL1201583,CHEMBL1201585,CHEMBL1201827,CHEMBL1213490,CHEMBL1229592,CHEMBL1258517,CHEMBL1289494,CHEMBL1336,CHEMBL1358,CHEMBL1374379,CHEMBL1399,CHEMBL1431,CHEMBL1444,CHEMBL14460,CHEMBL1478,CHEMBL1614701,CHEMBL1614707,CHEMBL1614725,CHEMBL1645462,CHEMBL167667,CHEMBL1679,CHEMBL1684984,CHEMBL1743051,CHEMBL1743062,CHEMBL1743063,CHEMBL1743082,CHEMBL1773,CHEMBL180022,CHEMBL1801204,CHEMBL182,CHEMBL185,CHEMBL1873475,CHEMBL189963,CHEMBL1908360,CHEMBL2007641,CHEMBL2017974,CHEMBL20883,CHEMBL2103842,CHEMBL2105712,CHEMBL2105719,CHEMBL2108029,CHEMBL2108615,CHEMBL2109271,CHEMBL2109399,CHEMBL2110732,CHEMBL2141478,CHEMBL2177390,CHEMBL2364649,CHEMBL2387080,CHEMBL2408045,CHEMBL24828,CHEMBL258940,CHEMBL263376,CHEMBL27759,CHEMBL289228,CHEMBL289277,CHEMBL297453,CHEMBL3039542,CHEMBL3184679,CHEMBL31965,CHEMBL3218575,CHEMBL3218576,CHEMBL3301610,CHEMBL3353410,CHEMBL343448,CHEMBL3544956,CHEMBL3544960,CHEMBL3544983,CHEMBL3545002,CHEMBL3545025,CHEMBL3545052,CHEMBL3545063,CHEMBL3545071,CHEMBL3545111,CHEMBL3545133,CHEMBL3545154,CHEMBL3545200,CHEMBL3545212,CHEMBL3545244,CHEMBL3545246,CHEMBL3545308,CHEMBL3545380,CHEMBL3545396,CHEMBL3545422,CHEMBL35482,CHEMBL366460,CHEMBL3707277,CHEMBL3707348,CHEMBL37390,CHEMBL3833344,CHEMBL389621,CHEMBL392068,CHEMBL411,CHEMBL413,CHEMBL414804,CHEMBL417,CHEMBL428647,CHEMBL47,CHEMBL481,CHEMBL483321,CHEMBL508583,CHEMBL515,CHEMBL521686,CHEMBL521851,CHEMBL53463,CHEMBL535,CHEMBL539947,CHEMBL545315,CHEMBL553,CHEMBL553025,CHEMBL554,CHEMBL55659,CHEMBL566,CHEMBL587723,CHEMBL592445,CHEMBL598797,CHEMBL601719,CHEMBL607707,CHEMBL83,CHEMBL88,CHEMBL888,CHEMBL917,CHEMBL92,CHEMBL939,CHEMBL98"
"ERBB3"	"AC-480,AFATINIB,AMG-888,AV-203,CETUXIMAB,CIMAGLERMIN ALFA,CP-724714,DACOMITINIB,DULIGOTUZUMAB,GEFITINIB,LAPATINIB,MARGETUXIMAB,MM-121,MOMELOTINIB,OSIMERTINIB MESYLATE,Patritumab,PERTUZUMAB,Poziotinib,RABEPRAZOLE,SAPITINIB,SELUMETINIB,SERIBANTUMAB,SPIRONOLACTONE,TRASTUZUMAB,VANDETANIB"	"CHEMBL1078178,CHEMBL1173655,CHEMBL1201577,CHEMBL1201585,CHEMBL1219,CHEMBL1393,CHEMBL1614701,CHEMBL1645462,CHEMBL2007641,CHEMBL2109396,CHEMBL2109401,CHEMBL2109402,CHEMBL2109406,CHEMBL2110732,CHEMBL2364649,CHEMBL2408045,CHEMBL24828,CHEMBL3039542,CHEMBL3137345,CHEMBL3545063,CHEMBL3545071,CHEMBL3545154,CHEMBL483321,CHEMBL554,CHEMBL939"
"ERBB4"	"AC-480,ACALABRUTINIB,AEE-788,AFATINIB,AFATINIB DIMALEATE,BMS-690514,CANERTINIB DIHYDROCHLORIDE,CAPREOMYCINE,CETUXIMAB,CHEMBL1229592,CIMAGLERMIN ALFA,DACOMITINIB,DACOMITINIB HYDRATE,ERLOTINIB,GEFITINIB,IBRUTINIB,JNJ-26483327,LAPATINIB,OSIMERTINIB MESYLATE,PELITINIB,POTASSIUM CHLORIDE,Poziotinib,RABEPRAZOLE,VANDETANIB"	"CHEMBL1173655,CHEMBL1200731,CHEMBL1201577,CHEMBL1219,CHEMBL1229592,CHEMBL1645462,CHEMBL1873475,CHEMBL2105712,CHEMBL2105719,CHEMBL2110732,CHEMBL2221250,CHEMBL24828,CHEMBL3039542,CHEMBL3545063,CHEMBL3545133,CHEMBL3545154,CHEMBL3545396,CHEMBL3707348,CHEMBL545315,CHEMBL553,CHEMBL554,CHEMBL587723,CHEMBL607707,CHEMBL939"
"ERCC1"	"CYCLOSPORINE,FLUOROURACIL,HERBIMYCIN"	"CHEMBL160,CHEMBL185,CHEMBL479533"
"ERCC2"	"CARBOPLATIN,PACLITAXEL"	"CHEMBL1351,CHEMBL428647"
"ERCC4"	NA	NA
"ERCC6"	"CYCLOSPORINE,DEXTROMETHORPHAN,HYDROGEN PEROXIDE"	"CHEMBL160,CHEMBL52440,CHEMBL71595"
"EREG"	"CETUXIMAB,GONADOTROPIN, CHORIONIC,PANITUMUMAB"	"CHEMBL1201509,CHEMBL1201577,CHEMBL1201827"
"ERG"	"AMIODARONE HYDROCHLORIDE,AZD1305,AZD7009,DALFAMPRIDINE,DOFETILIDE,GUANIDINE HYDROCHLORIDE,IBUTILIDE FUMARATE,NERISPIRDINE,SOTALOL HYDROCHLORIDE,TEDISAMIL"	"CHEMBL1083993,CHEMBL113461,CHEMBL1200564,CHEMBL1200728,CHEMBL1700,CHEMBL2107762,CHEMBL284348,CHEMBL3545040,CHEMBL3545169,CHEMBL473"
"ERN1"	NA	NA
"ESR1"	"ABEMACICLIB,ACOLBIFENE,AFIMOXIFENE (CHEMBL10041),AFIMOXIFENE (CHEMBL489),ANASTROZOLE,ARZOXIFENE,BAZEDOXIFENE,BAZEDOXIFENE ACETATE,CHEMBL188528,CHEMBL201013,CHEMBL282489,CHEMBL520107,CHF4227,CHLOROTRIANISENE,CLOMIPHENE,CLOMIPHENE CITRATE,DANAZOL,DESOGESTREL,DIARYLPROPIONITRILE,DIENESTROL,DIENOGEST,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL DIPHOSPHATE,DROLOXIFENE,ENDOXIFEN,ESTRADIOL,ESTRADIOL ACETATE (CHEMBL1200430),ESTRADIOL CYPIONATE,ESTRADIOL VALERATE,ESTRIOL,ESTROGEN,ESTROGENS, CONJUGATED,ESTROGENS, CONJUGATED SYNTHETIC A,ESTROGENS, ESTERIFIED,ESTRONE,ESTROPIPATE,ETHINYL ESTRADIOL,ETHYNODIOL DIACETATE,ETONOGESTREL,EVEROLIMUS,EXEMESTANE,FISPEMIFENE,FULVESTRANT,GDC-0810,GONADORELIN,GTx-758,HEXESTROL,IDOXIFENE,IODINE,LAPATINIB,LASOFOXIFENE,LETROZOLE,LEVONORGESTREL,LY2245461,MEGESTROL ACETATE,MESTRANOL,MITOTANE,MK-6913,NORELGESTROMIN,NORGESTIMATE,NORGESTREL,OSPEMIFENE,PALBOCICLIB,PERTUZUMAB,POLYESTRADIOL PHOSPHATE,PRINABEREL,PROGESTERONE,PROPYLPYRAZOLETRIOL,QUINESTROL,RAD1901,RALOXIFEN,RALOXIFENE,Ribociclib,SIVIFENE,SR16234 (CHEMBL3545210),SYNTHETIC CONJUGATED ESTROGENS, B,TAMOXIFEN,TAMOXIFEN CITRATE,TOREMIFENE,TOREMIFENE CITRATE,TRASTUZUMAB,VINTAFOLIDE"	"CHEMBL10041,CHEMBL1007,CHEMBL1018,CHEMBL103,CHEMBL1079109,CHEMBL1093458,CHEMBL1200374,CHEMBL1200430,CHEMBL1200598,CHEMBL1200624,CHEMBL1200675,CHEMBL1200761,CHEMBL1200807,CHEMBL1200934,CHEMBL1200973,CHEMBL1200980,CHEMBL1201139,CHEMBL1201151,CHEMBL1201165,CHEMBL1201225,CHEMBL1201466,CHEMBL1201467,CHEMBL1201468,CHEMBL1201477,CHEMBL1201585,CHEMBL1201649,CHEMBL1201864,CHEMBL135,CHEMBL1358,CHEMBL1389,CHEMBL1399,CHEMBL1405,CHEMBL1444,CHEMBL1479,CHEMBL1511,CHEMBL1531,CHEMBL1533,CHEMBL1655,CHEMBL1670,CHEMBL188528,CHEMBL189963,CHEMBL1908360,CHEMBL193482,CHEMBL2007641,CHEMBL201013,CHEMBL2105395,CHEMBL2106615,CHEMBL2107341,CHEMBL2107797,CHEMBL226267,CHEMBL2355051,CHEMBL282489,CHEMBL3039521,CHEMBL307697,CHEMBL3185958,CHEMBL328190,CHEMBL3301610,CHEMBL334773,CHEMBL3545015,CHEMBL3545017,CHEMBL3545110,CHEMBL3545210,CHEMBL3545274,CHEMBL3545355,CHEMBL3545389,CHEMBL3545390,CHEMBL411,CHEMBL441282,CHEMBL450940,CHEMBL46740,CHEMBL487,CHEMBL489,CHEMBL520107,CHEMBL554,CHEMBL592868,CHEMBL6318,CHEMBL6615,CHEMBL68055,CHEMBL691,CHEMBL786,CHEMBL81,CHEMBL83"
"ESR2"	"ACOLBIFENE,AFIMOXIFENE (CHEMBL10041),AFIMOXIFENE (CHEMBL489),BAZEDOXIFENE,BAZEDOXIFENE ACETATE,CHF4227,CHLOROTRIANISENE,CR 1447,DIETHYLSTILBESTROL DIPHOSPHATE,DROLOXIFENE,EQUOL,ERTEBEREL,ESTRADIOL,ESTRAMUSTINE PHOSPHATE SODIUM,ESTROGEN,ESTROGENS, CONJUGATED,ESTROGENS, CONJUGATED SYNTHETIC A,ESTROGENS, ESTERIFIED,FISPEMIFENE,FULVESTRANT,IDOXIFENE,LY2245461,MF101,MK-6913,OSPEMIFENE,PRINABEREL,QUINESTROL,RALOXIFEN,RALOXIFENE,RALOXIFENE HYDROCHLORIDE,SIVIFENE,SR16234 (CHEMBL3545210),SYNTHETIC CONJUGATED ESTROGENS, B,TAMOXIFEN,TOREMIFENE,TOREMIFENE CITRATE"	"CHEMBL10041,CHEMBL1079109,CHEMBL1116,CHEMBL1200598,CHEMBL1200675,CHEMBL1200721,CHEMBL1200761,CHEMBL1201165,CHEMBL1201466,CHEMBL1201467,CHEMBL1201468,CHEMBL1201649,CHEMBL135,CHEMBL1358,CHEMBL1655,CHEMBL198877,CHEMBL2105395,CHEMBL2106615,CHEMBL2107341,CHEMBL278703,CHEMBL307697,CHEMBL3545092,CHEMBL3545210,CHEMBL3545274,CHEMBL3545355,CHEMBL3545389,CHEMBL3545411,CHEMBL450940,CHEMBL46740,CHEMBL487,CHEMBL489,CHEMBL592868,CHEMBL6318,CHEMBL68055,CHEMBL81,CHEMBL83"
"ESRRA"	"BIOCHANIN,CHEMBL189753,DAIDZEIN,GENISTEIN"	"CHEMBL131921,CHEMBL189753,CHEMBL44,CHEMBL8145"
"ESRRB"	"BIOCHANIN,CHEMBL192509,DAIDZEIN,DIETHYLSTILBESTROL,GENISTEIN"	"CHEMBL131921,CHEMBL192509,CHEMBL411,CHEMBL44,CHEMBL8145"
"ESRRG"	"AFIMOXIFENE (CHEMBL10041),DIETHYLSTILBESTROL"	"CHEMBL10041,CHEMBL411"
"ETV1"	"TRAMETINIB"	"CHEMBL2103875"
"ETV4"	"TRAMETINIB"	"CHEMBL2103875"
"ETV5"	"TRAMETINIB"	"CHEMBL2103875"
"ETV6"	"ALTIRATINIB,ASPARAGINASE,AZD-4547,BMS-754807,CHEMBL21156,CHEMBL401930,CRIZOTINIB,ENTRECTINIB,HMPL-523,IDARUBICIN,IMATINIB,LESTAURTINIB,LOXO-101,MIDOSTAURIN"	"CHEMBL1117,CHEMBL1983268,CHEMBL2108989,CHEMBL21156,CHEMBL3184679,CHEMBL3545075,CHEMBL3545301,CHEMBL3545365,CHEMBL401930,CHEMBL575448,CHEMBL601719,CHEMBL603469,CHEMBL608533,CHEMBL941"
"EZH1"	NA	NA
"EZH2"	"CHEMBL3287735,DABRAFENIB,DOXORUBICIN,MK-2206,SELUMETINIB,SULFINPYRAZONE,VORINOSTAT"	"CHEMBL1079175,CHEMBL1614701,CHEMBL2028663,CHEMBL3287735,CHEMBL53463,CHEMBL832,CHEMBL98"
"EZR"	"STAUROSPORINE"	"CHEMBL388978"
"F10"	"ANTIHEMOPHILIC FACTOR,APIXABAN,BETRIXABAN,CHEMBL1271162,CHOLESTEROL,DANAPAROID SODIUM,EDOXABAN,EDOXABAN TOSYLATE,EMICIZUMAB,ENOXAPARIN,ERIBAXABAN,FONDAPARINUX SODIUM,HEPARIN,IDRAPARINUX,IDRAPARINUX SODIUM,LETAXABAN,MENADIONE,NONACOG ALFA,OCTOPAMINE,OTAMIXABAN,RIVAROXABAN,THROMBIN,TINZAPARIN SODIUM"	"CHEMBL1095032,CHEMBL112570,CHEMBL1200644,CHEMBL1201414,CHEMBL1201534,CHEMBL1201685,CHEMBL1269025,CHEMBL1271162,CHEMBL1908371,CHEMBL1908845,CHEMBL1909300,CHEMBL198362,CHEMBL2105682,CHEMBL2108110,CHEMBL2108175,CHEMBL2109205,CHEMBL231779,CHEMBL3833393,CHEMBL46618,CHEMBL476186,CHEMBL512351,CHEMBL53929,CHEMBL590"
"F11"	"CHEMBL273653,DEXTRAN SULFATE SODIUM,THROMBIN"	"CHEMBL2108110,CHEMBL2108952,CHEMBL273653"
"F12"	"CHEMBL1595992"	"CHEMBL1595992"
"F2"	"ARGATROBAN,BIVALIRUDIN,CHEMBL27885,CHEMBL282457,CHEMBL290376,DABIGATRAN,DABIGATRAN ETEXILATE MESYLATE,DESIRUDIN,ENOXAPARIN,HEPARIN,LEPIRUDIN,MELAGATRAN,MENADIONE,TAMOXIFEN,XIMELAGATRAN"	"CHEMBL1166,CHEMBL1201662,CHEMBL1201666,CHEMBL1201685,CHEMBL1615369,CHEMBL1909300,CHEMBL2103749,CHEMBL266349,CHEMBL27885,CHEMBL282457,CHEMBL290376,CHEMBL48361,CHEMBL522038,CHEMBL590,CHEMBL83"
"F2R"	"ALCOHOL,ALPROSTADIL,ARGATROBAN,ASPIRIN,ATOPAXAR,ATROPINE,BEVACIZUMAB,BLEOMYCIN (CHEMBL3039590),CHEMBL311626,DALTEPARIN SODIUM,HYDROXYCHLOROQUINE,KETOCONAZOLE,LEPIRUDIN,MORPHINE,RIGOSERTIB SODIUM,RUSALATIDE,THALIDOMIDE,THROMBIN,VORAPAXAR,VORAPAXAR SULFATE,WORTMANNIN"	"CHEMBL1166,CHEMBL1201460,CHEMBL1201583,CHEMBL1201666,CHEMBL1535,CHEMBL2013119,CHEMBL2103856,CHEMBL2107386,CHEMBL2108110,CHEMBL2111105,CHEMBL25,CHEMBL295698,CHEMBL3039590,CHEMBL311626,CHEMBL428496,CHEMBL468,CHEMBL493982,CHEMBL495,CHEMBL517712,CHEMBL545,CHEMBL70"
"F2RL1"	"BUNOLOL (CHEMBL293030),CHEMBL493076,CHEMBL494303,CHEMBL509819,CHEMBL55242,NALBUPHINE,TYLOSIN"	"CHEMBL293030,CHEMBL42743,CHEMBL493076,CHEMBL494303,CHEMBL509819,CHEMBL55242,CHEMBL895"
"F2RL2"	"RUSALATIDE,VORAPAXAR"	"CHEMBL2111105,CHEMBL493982"
"F2RL3"	"IODIPAMIDE,LANSOPRAZOLE,NAFCILLIN,RUSALATIDE,TRIFLUSAL,VORAPAXAR"	"CHEMBL1165268,CHEMBL1332032,CHEMBL1443,CHEMBL2111105,CHEMBL480,CHEMBL493982"
"F5"	"DROTRECOGIN ALFA (ACTIVATED),ELTROMBOPAG,TAMOXIFEN,THROMBIN"	"CHEMBL2108110,CHEMBL2109065,CHEMBL461101,CHEMBL83"
"F7"	"CHEMBL206387"	"CHEMBL206387"
"F8"	"DROTRECOGIN ALFA (ACTIVATED),RANITIDINE,RAVIDASVIR,SORBITOL,TB-402,THROMBIN"	"CHEMBL1682,CHEMBL1790041,CHEMBL2108110,CHEMBL2109065,CHEMBL2109410,CHEMBL3121849"
"F9"	"ANTIHEMOPHILIC FACTOR,CHEMBL597557,COUMARIN,DEXAMETHASONE,DEXTRAN SULFATE SODIUM,EMICIZUMAB,HYDROCORTISONE,HYDROGEN PEROXIDE,LEVOTHYROXINE,MENADIONE,PEGNIVACOGIN"	"CHEMBL1624,CHEMBL2107870,CHEMBL2108175,CHEMBL2108952,CHEMBL3833393,CHEMBL384467,CHEMBL389621,CHEMBL590,CHEMBL597557,CHEMBL6466,CHEMBL71595"
"FAAH"	"ACETAMINOPHEN,CHEMBL1651524,CHEMBL1651534,CHEMBL177577,CHEMBL184238,CHEMBL2164602,CHEMBL560590,PROPOFOL,THIOPENTAL"	"CHEMBL112,CHEMBL1651524,CHEMBL1651534,CHEMBL177577,CHEMBL184238,CHEMBL2164602,CHEMBL441,CHEMBL526,CHEMBL560590"
"FABP1"	"CLOFIBRATE,DEXAMETHASONE"	"CHEMBL384467,CHEMBL565"
"FABP3"	NA	NA
"FABP4"	NA	NA
"FABP5"	NA	NA
"FADD"	"RIZATRIPTAN"	"CHEMBL905"
"FANCA"	"OLAPARIB"	"CHEMBL521686"
"FANCC"	"CHLORAMBUCIL,GEMCITABINE,MELPHALAN,MITOMYCIN"	"CHEMBL105,CHEMBL515,CHEMBL852,CHEMBL888"
"FAP"	NA	NA
"FAS"	"ARSENIC TRIOXIDE,ASPIRIN,ATORVASTATIN,CHLORFENSON,CHOLECALCIFEROL,CYCLOPHOSPHAMIDE,DAUNORUBICIN,EDELFOSINE,FLOXURIDINE,FLUOROURACIL,LITHIUM,MYCOPHENOLIC ACID,RIZATRIPTAN,SODIUM BUTYRATE,TENIPOSIDE,TESTOSTERONE,THROMBIN,TRETINOIN,VALPROIC ACID,VESNARINONE,VITAMIN K"	"CHEMBL1042,CHEMBL109,CHEMBL1200978,CHEMBL1201519,CHEMBL1487,CHEMBL17423,CHEMBL178,CHEMBL185,CHEMBL2108110,CHEMBL2146126,CHEMBL25,CHEMBL28509,CHEMBL38,CHEMBL386630,CHEMBL452231,CHEMBL499017,CHEMBL62381,CHEMBL866,CHEMBL88,CHEMBL905,CHEMBL917"
"FASLG"	NA	NA
"FASN"	"CERULENIN,CLOZAPINE,LIOTHYRONINE SODIUM,ORLISTAT,PACLITAXEL,PALIFERMIN,RISPERIDONE"	"CHEMBL1201119,CHEMBL1201821,CHEMBL175247,CHEMBL42,CHEMBL428647,CHEMBL45627,CHEMBL85"
"FBP1"	NA	NA
"FBP2"	NA	NA
"FBXW7"	"BELINOSTAT,CHEMBL191482,DOCETAXEL,ENTINOSTAT,REGORAFENIB,SIROLIMUS,TEMSIROLIMUS,VORINOSTAT"	"CHEMBL1201182,CHEMBL191482,CHEMBL1946170,CHEMBL27759,CHEMBL408513,CHEMBL413,CHEMBL92,CHEMBL98"
"FCER1A"	"BENZYLPENICILLOYL POLYLYSINE,OMALIZUMAB,R-112"	"CHEMBL1201589,CHEMBL1201779,CHEMBL3545399"
"FCER1G"	"BENZYLPENICILLOYL POLYLYSINE,R-112"	"CHEMBL1201779,CHEMBL3545399"
"FCER2"	"LUMILIXIMAB"	"CHEMBL2109151"
"FCGR1A"	"MDX-210,MDX-447"	"CHEMBL2109271,CHEMBL2109391"
"FCGR1CP"	NA	NA
"FCGR2A"	"THIOLACTOMYCIN"	"CHEMBL399043"
"FCGR2B"	"BELAPERIDONE,STAUROSPORINE,THIOLACTOMYCIN"	"CHEMBL2105926,CHEMBL388978,CHEMBL399043"
"FCGR3A"	"BROMOACETIC ACID,CETUXIMAB,CHEMBL411250,CHONDROITIN SULFATE,CIMETIDINE,CYCLOSPORINE,CYTARABINE,DIMETHYL SULFOXIDE,DOXORUBICIN,EPOETIN ALFA,FENTANYL,GELDANAMYCIN,HEPARIN,HYDROGEN PEROXIDE,INDOMETHACIN,LACTULOSE HYDRATE,MAFOSFAMIDE,MUROMONAB-CD3,PENICILLIN G POTASSIUM,PENICILLIN G SODIUM,PHORBOL MYRISTATE ACETATE,PREDNISOLONE,PUROMYCIN,RIZATRIPTAN,SODIUM CHLORIDE,TESMILIFENE HYDROCHLORIDE,THALIDOMIDE,TRASTUZUMAB"	"CHEMBL1126,CHEMBL1200574,CHEMBL1201565,CHEMBL1201577,CHEMBL1201585,CHEMBL1201608,CHEMBL1223,CHEMBL1237068,CHEMBL131,CHEMBL160,CHEMBL1909300,CHEMBL2107467,CHEMBL2303614,CHEMBL278315,CHEMBL279115,CHEMBL30,CHEMBL411250,CHEMBL468,CHEMBL469912,CHEMBL504,CHEMBL53463,CHEMBL596,CHEMBL59990,CHEMBL6,CHEMBL60851,CHEMBL71595,CHEMBL803,CHEMBL905"
"FCGR3B"	"BROMOACETIC ACID,CHEMBL411250,CHOLECALCIFEROL,CHONDROITIN SULFATE,CYCLOSPORINE,CYTARABINE,DIMETHYL SULFOXIDE,DOXORUBICIN,EPOETIN ALFA,FENTANYL,GELDANAMYCIN,HEPARIN,INDOMETHACIN,LACTULOSE HYDRATE,MAFOSFAMIDE,METHIMAZOLE,METHOTREXATE,PENICILLIN G POTASSIUM,PENICILLIN G SODIUM,PHORBOL MYRISTATE ACETATE,PREDNISOLONE,PROGESTERONE,PUROMYCIN,RIZATRIPTAN,SODIUM CHLORIDE,THALIDOMIDE"	"CHEMBL103,CHEMBL1042,CHEMBL1126,CHEMBL1200574,CHEMBL1201565,CHEMBL1223,CHEMBL1237068,CHEMBL131,CHEMBL1515,CHEMBL160,CHEMBL1909300,CHEMBL2303614,CHEMBL278315,CHEMBL279115,CHEMBL34259,CHEMBL411250,CHEMBL468,CHEMBL469912,CHEMBL504,CHEMBL53463,CHEMBL596,CHEMBL59990,CHEMBL6,CHEMBL60851,CHEMBL803,CHEMBL905"
"FDFT1"	"LAPAQUISTAT ACETATE,LOVASTATIN"	"CHEMBL435224,CHEMBL503"
"FDPS"	"(CYCLOHEXYLAMINO)METHYLENEDIPHOSPHONIC ACID,ALENDRONATE SODIUM,ALENDRONIC ACID,CHEMBL294192,CHEMBL437758,CHEMBL99553,DORZOLAMIDE,DOXAPRAM,DROMOSTANOLONE PROPIONATE,DROPERIDOL,IBANDRONATE SODIUM,IBANDRONIC ACID,MINODRONIC ACID,PAMIDRONATE DISODIUM,PAMIDRONIC ACID,PIRIDRONIC ACID,RISEDRONATE SODIUM,RISEDRONIC ACID,ZOLEDRONIC ACID"	"CHEMBL1108,CHEMBL1201008,CHEMBL1201048,CHEMBL1654,CHEMBL1754,CHEMBL218490,CHEMBL294192,CHEMBL319144,CHEMBL437758,CHEMBL56253,CHEMBL675,CHEMBL676,CHEMBL834,CHEMBL870,CHEMBL923,CHEMBL924,CHEMBL99369,CHEMBL99553,CHEMBL997"
"FECH"	"METHYL AMINOLEVULINATE"	"CHEMBL1096562"
"FEN1"	"METHOXSALEN"	"CHEMBL416"
"FER"	NA	NA
"FES"	"NAPROXEN"	"CHEMBL154"
"FFAR1"	"CHEMBL1829173,CHEMBL2386353,CHEMBL449588,CHEMBL598,CYCLOBENZAPRINE,CYCLOPENTOLATE,FASIGLIFAM,GW9508,LINOLEIC ACID,LINOLENIC ACID,LY2881835,MYRISTIC ACID,OLEIC ACID,PALMITIC ACID,PYROGALLOL,ROSIGLITAZONE"	"CHEMBL111077,CHEMBL1201338,CHEMBL121,CHEMBL1829173,CHEMBL1829174,CHEMBL207881,CHEMBL2386353,CHEMBL267476,CHEMBL307145,CHEMBL3545086,CHEMBL449588,CHEMBL598,CHEMBL669,CHEMBL82293,CHEMBL8659,CHEMBL8739"
"FFAR2"	"ACETIC ACID,BUTANOIC ACID,CHEMBL52416,ISOBUTYRIC ACID,PROPIONIC ACID,TIRATRICOL,VALERIC ACID"	"CHEMBL108778,CHEMBL14021,CHEMBL14227,CHEMBL268736,CHEMBL41632,CHEMBL52416,CHEMBL539"
"FFAR4"	"GRIFOLIC ACID,GW9508,LINOLEIC ACID,LINOLENIC ACID,MYRISTIC ACID,OLEIC ACID"	"CHEMBL111077,CHEMBL207881,CHEMBL267476,CHEMBL513978,CHEMBL8659,CHEMBL8739"
"FGA"	"ALFIMEPRASE,ALTEPLASE,ANISTREPLASE,FIBRINOLYSIN, HUMAN,RETEPLASE"	"CHEMBL1201505,CHEMBL1201593,CHEMBL2107885,CHEMBL2108250,CHEMBL2108893"
"FGB"	"ALFIMEPRASE,FIBRINOLYSIN, HUMAN"	"CHEMBL1201505,CHEMBL2108893"
"FGF1"	"MUPARFOSTAT (CHEMBL1615835),PENTOSAN POLYSULFATE SODIUM"	"CHEMBL1201516,CHEMBL1615835"
